ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2017,BA,2927408,Salvador,29444667,EE - COLEGIO ESTADUAL ANA CRISTINA PRAZERES MATA PIRES,Estadual,NA,EM
2017,BA,2927408,Salvador,29446767,ESCOLA BAHIANA DE CIENCIA E TECNOLOGIA,Privada,5,EM
2017,BA,2927408,Salvador,29447151,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM MUSICA,Estadual,NA,EM
2017,BA,2927408,Salvador,29449723,COLEGIO YOLANDA ROCHA,Privada,5.5,EM
2017,BA,2927408,Salvador,29459230,DP - TREINAMENTO E SERVICOS EDUCACIONAIS EIRELI,Privada,6.2,EM
2017,BA,2927408,Salvador,29459583,EE - CENTRO NOTURNO DE EDUCACAO DA BAHIA-CENEB JUNOT SILVEIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29464366,EE - CENTRO NOTURNO DE EDUCACAO DA BAHIA-CENEB MARIA FELIPA DE OLIVEIRA,Estadual,NA,EM
2017,BA,2927408,Salvador,29464420,EE - CENTRO NOTURNO DE EDUCACAO DA BAHIA-CENEB MARIA QUITERIA,Estadual,1.3,EM
2017,BA,2927408,Salvador,29467934,EE - COLEGIO ESTADUAL DE NOVA ESPERANCA,Estadual,NA,EM
2017,BA,2927408,Salvador,29999740,UNIDADE SESI PIATA,Privada,4.9,EM
2019,BA,2927408,Salvador,29179491,EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE IV,Estadual,NA,EM
2019,BA,2927408,Salvador,29180104,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM LOGISTICA E TRANSPORTE LUIZ PINTO DE CARVALHO,Estadual,NA,EM
2019,BA,2927408,Salvador,29180490,EE - CENTRO EDUCACIONAL EDGAR SANTOS,Estadual,NA,EM
2019,BA,2927408,Salvador,29181119,EE - COLEGIO ESTADUAL LUIZ TARQUINIO - TEMPO INTEGRAL,Estadual,NA,EM
2019,BA,2927408,Salvador,29181143,EE - COLEGIO ESTADUAL LUIS VIANA,Estadual,NA,EM
2019,BA,2927408,Salvador,29181151,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM SAUDE ANISIO TEIXEIRA,Estadual,NA,EM
2019,BA,2927408,Salvador,29181429,EE - COLEGIO DA POLICIA MILITAR - UNIDADE I CPM DENDEZEIROS,Estadual,3.6,EM
2019,BA,2927408,Salvador,29181470,EE - COLEGIO ESTADUAL DUQUE DE CAXIAS,Estadual,NA,EM
2019,BA,2927408,Salvador,29181488,EE - COLEGIO ESTADUAL GOVERNADOR LOMANTO JUNIOR,Estadual,NA,EM
2019,BA,2927408,Salvador,29181496,EE - COLEGIO ESTADUAL GOVERNADOR ROBERTO SANTOS,Estadual,NA,EM
2019,BA,2927408,Salvador,29181500,EE - COLEGIO ESTADUAL MANOEL DEVOTO,Estadual,NA,EM
2019,BA,2927408,Salvador,29181526,EE - COLEGIO ESTADUAL PRESIDENTE COSTA E SILVA,Estadual,NA,EM
2019,BA,2927408,Salvador,29181534,EE - COLEGIO ESTADUAL NELSON MANDELA,Estadual,3.5,EM
2019,BA,2927408,Salvador,29181542,EE - CENTRO ESTADUAL DE EDUCACAO PROFISSIONAL EM GESTAO SEVERINO VIEIRA,Estadual,NA,EM
2019,BA,2927408,Salvador,29181550,EE - COLEGIO ESTADUAL SENHOR DO BONFIM,Estadual,NA,EM
2019,BA,2927408,Salvador,29181631,EE - COLEGIO POLIVALENTE DO CABULA,Estadual,NA,EM
2019,BA,2927408,Salvador,29181640,COLEGIO SAO JOSE,Privada,NA,EM
2019,BA,2927408,Salvador,29182034,EE - COLEGIO ESTADUAL ANTONIO CARLOS MAGALHAES,Estadual,NA,EM
2019,BA,2927408,Salvador,29182042,EE - COLEGIO ESTADUAL HELENA CELESTINO MAGALHAES - TEMPO INTEGRAL,Estadual,2.6,EM
2019,BA,2927408,Salvador,29182050,EE - COLEGIO ESTADUAL TEREZA CONCEICAO MENEZES,Estadual,NA,EM
