UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29190754;EE - COLEGIO ESTADUAL DOUTOR JOAO PEDRO DOS SANTOS;Estadual;64.4;57.9;67.2;68.8;NA;0.642577;70.4;65.3;69.6;76;NA;0.700286;ND;ND;NA;242.72;250.44;3.847605;NA;2.7
BA;2927408;Salvador;29190770;EE - COLEGIO ESTADUAL ALBERTO SANTOS DUMONT;Estadual;67;54.6;69.8;83;NA;0.671293;74.3;67.6;76.9;79.4;NA;0.742735;ND;ND;NA;222.87;223.62;3.167316;NA;2.4
BA;2927408;Salvador;29190835;EE - COLEGIO ESTADUAL BRIGADEIRO EDUARDO GOMES;Estadual;84.5;80.3;81;94.1;NA;0.846836;89.1;85.5;88.9;94.3;NA;0.894216;262.84;262.22;4.306536;264.44;265.47;4.377661;3.6;3.9
BA;2927408;Salvador;29190851;EE - COLEGIO ESTADUAL CESARE CASALI;Estadual;63.9;53.8;71.1;70.9;NA;0.641623;68.5;61.1;67.2;79.6;NA;0.684769;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29190860;EE - COLEGIO ESTADUAL CIDADE DE CURITIBA;Estadual;65.3;53.6;61.7;82.6;NA;0.638696;72.4;62.5;74.1;79.4;NA;0.712763;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29190878;EE - COLEGIO ESTADUAL COSME DE FARIAS;Estadual;76.4;69;87.7;77.8;NA;0.774219;75.5;65;84.6;84.7;NA;0.769008;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29190886;EMPREENDIMENTOS EDUCACIONAIS MONTESSORIANO;Privada;88.9;85.2;85.7;100;NA;0.89805;NA;NA;NA;NA;NA;NA;306.71;298.31;5.462958;NA;NA;NA;4.9;NA
BA;2927408;Salvador;29190894;EE - COLEGIO ESTADUAL DEPUTADO ROGERIO REGO;Estadual;73.5;66.7;72.4;83.8;NA;0.736416;79.4;70.3;74;95.6;NA;0.785371;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29190908;EE - COLEGIO ESTADUAL LUIS ROGERIO DE SOUZA;Estadual;81.7;67.8;93.4;87;NA;0.811905;77.8;65;82.7;92.9;NA;0.784503;ND;ND;NA;246.82;269.14;4.185129;NA;3.3
BA;2927408;Salvador;29190991;EE - COLEGIO ESTADUAL JOAO DAS BOTAS;Estadual;75.5;74;68.1;83.3;NA;0.74622;84.6;80.5;83.1;95.2;NA;0.858117;ND;ND;NA;247.95;253.36;3.964772;NA;3.4
BA;2927408;Salvador;29191009;EE - COLEGIO ESTADUAL KLEBER PACHECO;Estadual;62.8;48.3;71.5;73.1;NA;0.620221;69.4;64.6;70.2;76.2;NA;0.700145;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29191041;EE - COLEGIO ESTADUAL PADRE PALMEIRA;Estadual;87.1;85.6;91.3;84.5;NA;0.870336;81.2;75.9;81.7;87.7;NA;0.814827;238.72;240.18;3.637832;ND;ND;NA;3.2;NA
BA;2927408;Salvador;29191068;EE - COLEGIO ESTADUAL PINTO DE AGUIAR;Estadual;46.4;20;56.8;61;NA;0.357147;56.6;35.5;66.7;64.1;NA;0.510533;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29191092;EE - COLEGIO ESTADUAL EDVALDO FERNANDES - TEMPO INTEGRAL;Estadual;79.2;79.4;70.2;84.9;100;0.82274;86.9;80;87;100;NA;0.882502;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29191157;EE - COLEGIO ESTADUAL VERA LUX;Estadual;65.1;64.4;65.5;65.5;NA;0.651292;68.8;69.4;68.3;68.6;NA;0.687635;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29191173;EE - COLEGIO ESTADUAL YEDA BARRADAS CARNEIRO - TEMPO INTEGRAL;Estadual;78;61.7;80;88.1;NA;0.74891;80.4;72.2;79.1;94;NA;0.807952;ND;ND;NA;263.13;258.59;4.256268;NA;3.4
BA;2927408;Salvador;29191190;EE - CENTRO EST DE ED PROFISSIONAL EM SAUDE E TECNOLOGIA DA INFORMACAO CARLOS CORREA DE MENEZES SANT;Estadual;58.7;55.6;63.5;81;36.4;0.543834;93.5;89.1;100;94.4;93.8;0.941674;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29191211;EE - COLEGIO ESTADUAL DE APLICACAO ANISIO TEIXEIRA;Estadual;79.2;78.3;82.3;76.9;71.9;0.771692;77.7;74.6;81.1;77.5;83.9;0.791179;ND;ND;NA;ND;ND;NA;NA;NA
